,totalImperfection,ruleSpaceID,goodDesignsElim,impact,totalPerfection,numIncorrect,poorDesignsElim,totalDesignsElim,poorPerfection,poornessPercent,numCorrect,goodPerfection,goodnessPercent,poorEliminationPercent
final_P2_S1_Rule_O,False,final_P2_S1_Rule_O,21,5,False,1896,123,144,False,93,2100,False,98,85
final_H1_P1_Rule_T,False,final_H1_P1_Rule_T,955,5,False,1892,1061,2016,False,46,2104,False,52,52
final_B2_P1_Rule_O,False,final_B2_P1_Rule_O,149,6,False,1864,283,432,False,85,2132,False,92,65
final_A1_P2_Rule_B,False,final_A1_P2_Rule_B,16,6,False,1862,152,168,False,92,2134,False,99,90
final_B2_P2_Rule_T,False,final_B2_P2_Rule_T,1002,7,False,1842,1158,2160,False,42,2154,False,49,53
final_A1_P1_Rule_O,False,final_A1_P1_Rule_O,73,7,False,1856,215,288,False,89,2140,False,96,74
final_B1_P1_Rule_O,False,final_B1_P1_Rule_O,135,8,False,1836,297,432,False,85,2160,False,93,68
final_S1_Rule_R,False,final_S1_Rule_R,19,8,False,1820,197,216,False,90,2176,False,99,91
final_B2_P2_Rule_B,False,final_B2_P2_Rule_B,39,8,False,1836,201,240,False,89,2160,False,98,83
final_PB1_Rule_M,False,final_PB1_Rule_M,1316,8,False,1822,1492,2808,False,25,2174,False,34,53
final_PB2_Rule_M,False,final_PB2_Rule_M,1320,8,False,1830,1488,2808,False,25,2166,False,33,52
final_PA1_Rule_M,False,final_PA1_Rule_M,1622,8,False,1822,1798,3420,False,10,2174,False,18,52
final_PA2_Rule_M,False,final_PA2_Rule_M,1616,9,False,1810,1804,3420,False,9,2186,False,19,52
final_A1_P2_Rule_T,False,final_A1_P2_Rule_T,949,9,False,1808,1139,2088,False,42,2188,False,52,54
final_A1_P2_Rule_O,False,final_A1_P2_Rule_O,25,11,False,1760,263,288,False,86,2236,False,98,91
final_PP1_Rule_NI,False,final_PP1_Rule_NI,457,13,False,1724,731,1188,False,63,2272,False,77,61
final_B1_Rule_M,False,final_B1_Rule_M,1110,13,False,1734,1374,2484,False,31,2262,False,44,55
final_B1_Y_Rule_T,False,final_B1_Y_Rule_T,1110,13,False,1734,1374,2484,False,31,2262,False,44,55
final_P1_P2_Rule_B,False,final_P1_P2_Rule_B,22,14,False,1718,302,324,False,84,2278,False,98,93
final_P2_Rule_R,False,final_P2_Rule_R,20,14,False,1714,304,324,False,84,2282,False,98,93
final_B2_Rule_M,False,final_B2_Rule_M,1093,14,False,1700,1391,2484,False,30,2296,False,45,55
final_B2_Y_Rule_T,False,final_B2_Y_Rule_T,1093,14,False,1700,1391,2484,False,30,2296,False,45,55
final_B2_P2_Rule_O,False,final_B2_P2_Rule_O,72,14,False,1710,360,432,False,81,2286,False,96,83
final_S1_Y_Rule_O,False,final_S1_Y_Rule_O,150,15,False,1686,462,612,False,76,2310,False,92,75
final_S1_Rule_NI,False,final_S1_Rule_NI,150,15,False,1686,462,612,False,76,2310,False,92,75
final_S1_Y_Rule_F,False,final_S1_Y_Rule_F,150,15,False,1686,462,612,False,76,2310,False,92,75
final_PS1_Rule_NI,False,final_PS1_Rule_NI,150,15,False,1686,462,612,False,76,2310,False,92,75
final_S1_Y_Rule_A,False,final_S1_Y_Rule_A,150,15,False,1686,462,612,False,76,2310,False,92,75
final_A1_Rule_M,False,final_A1_Rule_M,1240,18,False,1634,1604,2844,False,19,2362,False,37,56
final_A1_Y_Rule_T,False,final_A1_Y_Rule_T,1240,18,False,1634,1604,2844,False,19,2362,False,37,56
final_H1_Rule_M,False,final_H1_Rule_M,1337,19,False,1612,1723,3060,False,13,2384,False,33,56
final_H1_Y_Rule_T,False,final_H1_Y_Rule_T,1337,19,False,1612,1723,3060,False,13,2384,False,33,56
final_H2_Rule_M,False,final_H2_Rule_M,1293,23,False,1524,1767,3060,False,11,2472,False,35,57
final_H2_Y_Rule_T,False,final_H2_Y_Rule_T,1293,23,False,1524,1767,3060,False,11,2472,False,35,57
final_P1_P2_Rule_T,False,final_P1_P2_Rule_T,611,25,False,1492,1117,1728,False,44,2504,False,69,64
final_P1_P2_Rule_O,False,final_P1_P2_Rule_O,52,27,False,1454,596,648,False,70,2542,False,97,91
